trip_id,shopping_time
4310899,2714
4310904,2721
4310907,2699
4310911,2699
4310328,2714
4310306,2692
4311006,2713
4310319,2714
4311215,2683
4311270,2692
4310303,2714
4310316,2687
4310933,2714
4311216,2714
4311650,2699
4311812,2699
4311412,2714
4311860,2714
4311925,2726
4312038,2721
4312253,2695
4312266,2724
4312283,2675
4312290,2626
4312299,2669
4312304,2756
4312311,2684
4312306,2698
4312315,2698
4312325,2640
4312328,2691
4312331,2697
4312334,2699
4312341,2725
4312339,2714
4312340,2692
4312342,2688
4312344,2685
4312347,2696
4312350,2690
4312354,2698
4312352,2709
4312359,2687
4312361,2793
4312362,2714
4312363,2761
4312365,2691
4312366,2753
4312367,2714
4312369,2746
4312371,2714
4312373,2729
4312374,2698
4312379,2724
4312381,2729
4312382,2731
4312384,2749
4312388,2690
4312391,2671
4312393,2694
4312418,2699
4312539,2721
4311913,2692
4312065,2714
4310324,2710
4312530,2697
4312150,2696
4312488,2673
4312454,2734
4312731,2714
4312783,2746
4312826,2753
4312839,2698
4312861,2793
4312888,2692
4312531,2713
4312626,2716
4312532,2681
4312988,2698
4312997,2698
4312624,2714
4312775,2666
4313092,2698
4313094,2714
4312678,2683
4313144,2669
4313264,2725
4313332,2688
4313337,2698
4313345,2753
4313355,2640
4313360,2626
4312742,2735
4313376,2697
4313408,2675
4313426,2699
4313427,2756
4313431,2724
4313432,2690
4313445,2714
4313475,2695
4313494,2696
4313519,2728
4313538,2691
4313586,2684
4313604,2687
4313619,2685
4313625,2690
4313644,2709
4313656,2724
4313671,2714
4312627,2703
4313699,2749
4313718,2714
4313722,2714
4313786,2690
4313821,2725
4313823,2793
4313399,2714
4313880,2756
4313899,2687
4313906,2692
4313947,2731
4313970,2714
4313979,2761
4314007,2695
4314037,2626
4314046,2714
4314049,2714
4314082,2687
4314097,2729
4314105,2669
4314117,2714
4314136,2756
4314208,2702
4314215,2675
4314229,2726
4314250,2684
4314255,2716
4314260,2686
4314262,2762
4314263,2617
4314301,2714
4314303,2728
4314304,2714
4314309,2702
4313291,2714
4313288,2714
4313282,2714
4314264,2668
4314330,2698
4314332,2749
4313297,2715
4314290,2691
4314363,2714
4313949,2714
4314371,2714
4314374,2724
4313788,2711
4314421,2691
4313298,2714
4314454,2746
4314473,2698
4314474,2669
4314479,2698
4314508,2714
4314509,2761
4314513,2640
4313292,2705
4314536,2753
4314544,2675
4314286,2717
4314553,2698
4314558,2688
4314561,2756
4314594,2687
4314422,2729
4314618,2731
4313869,2735
4314689,2793
4314748,2724
4314289,2650
4314755,2640
4314465,2712
4314778,2695
4314780,2728
4314125,2684
4313294,2657
4314797,2690
4314818,2714
4314822,2626
4314883,2671
4314893,2684
4313476,2716
4314969,2761
4314978,2714
4314983,2793
4314987,2699
4314009,2697
4314997,2698
4315030,2696
4315042,2692
4315050,2716
4315098,2675
4314288,2717
4315113,2688
4315116,2669
4315122,2640
4313296,2705
4315145,2691
4313303,2729
4314956,2704
4315155,2726
4315157,2698
4315165,2713
4315175,2691
4315219,2746
4315225,2756
4315233,2724
4314657,2681
4315323,2721
4315324,2699
4315325,2699
4314723,2713
4315365,2709
4315372,2684
4315376,2709
4315396,2690
4315403,2753
4315430,2690
4315433,2626
4315017,2713
4315442,2714
4315429,2700
4314788,2714
4315459,2694
4315461,2697
4314661,2729
4315468,2714
4315486,2685
4315498,2675
4315510,2729
4315511,2699
4315120,2699
4315005,2714
4315532,2716
4315538,2728
4315540,2714
4315543,2731
4314986,2687
4315562,2714
4314752,2714
4315583,2687
4315598,2696
4315600,2684
4315633,2709
4315641,2749
4314662,2736
4314660,2693
4315657,2698
4315684,2725
4313299,2699
4315717,2761
4315737,2714
4315738,2617
4315739,2716
4315791,2684
4315795,2729
4315799,2714
4315801,2729
4315817,2756
4315822,2699
4315823,2709
4315563,2691
4315835,2698
4315869,2721
4315892,2675
4315902,2692
4315919,2679
4315956,2697
4315971,2746
4316039,2753
4316069,2669
4316089,2691
4314581,2703
4316122,2729
4316133,2709
4316182,2762
4315009,2679
4316215,2793
4316217,2713
4316220,2731
4316221,2728
4316233,2729
4316302,2676
4316310,2736
4316319,2712
4316322,2702
4316324,2729
4316330,2719
4316332,2755
4316334,2767
4316339,2678
4316342,2689
4316345,2684
4316348,2705
4316350,2734
4316367,2687
4316371,2686
4316375,2702
4316379,2653
4316146,2714
4315329,2714
4316303,2711
4315330,2705
4316442,2714
4316447,2714
4316512,2699
4315332,2714
4315326,2745
4316561,2671
4316576,2691
4316588,2714
4316599,2729
4316612,2690
4316623,2709
4315339,2709
4316652,2696
4316664,2626
4316155,2714
4315999,2735
4316600,2696
4315327,2714
4316696,2640
4316333,2756
4316731,2728
4315341,2756
4316320,2730
4316067,2714
4316770,2712
4316074,2711
4316772,2714
4315838,2691
4315338,2726
4316819,2610
4316479,2711
4315340,2650
4316859,2709
4316891,2699
4316892,2698
4316909,2698
4315337,2711
4316335,2713
4316941,2714
4316948,2756
4316982,2713
4316984,2691
4316757,2714
4315331,2726
4316671,2699
4317041,2749
4316572,2715
4317050,2675
4317056,2709
4317067,2721
4317070,2685
4317088,2714
