trip_id,shopping_time
4310899,2674
4310904,2716
4310907,2674
4310911,2674
4310328,2674
4310306,2598
4311006,2674
4310319,2673
4311215,2668
4311270,2667
4310303,2688
4310316,2682
4310933,2674
4311216,2674
4311650,2674
4311812,2674
4311412,2674
4311860,2674
4311925,2702
4312038,2716
4312253,2687
4312266,2679
4312283,2662
4312290,2683
4312299,2662
4312304,2736
4312311,2602
4312306,2658
4312315,2651
4312325,2631
4312328,2623
4312331,2640
4312334,2700
4312341,2711
4312339,2641
4312340,2690
4312342,2658
4312344,2636
4312347,2647
4312350,2674
4312354,2629
4312352,2624
4312359,2648
4312361,2686
4312362,2673
4312363,2731
4312365,2644
4312366,2709
4312367,2674
4312369,2664
4312371,2673
4312373,2673
4312374,2673
4312379,2650
4312381,2658
4312382,2674
4312384,2661
4312388,2658
4312391,2693
4312393,2663
4312418,2674
4312539,2716
4311913,2667
4312065,2688
4310324,2675
4312530,2669
4312150,2669
4312488,2660
4312454,2689
4312731,2674
4312783,2664
4312826,2709
4312839,2629
4312861,2686
4312888,2690
4312531,2673
4312626,2666
4312532,2642
4312988,2629
4312997,2673
4312624,2673
4312775,2668
4313092,2651
4313094,2673
4312678,2668
4313144,2662
4313264,2711
4313332,2658
4313337,2658
4313345,2709
4313355,2631
4313360,2683
4312742,2681
4313376,2640
4313408,2662
4313426,2700
4313427,2736
4313431,2650
4313432,2674
4313445,2673
4313475,2687
4313494,2647
4313519,2654
4313538,2623
4313586,2602
4313604,2648
4313619,2636
4313625,2658
4313644,2624
4313656,2650
4313671,2674
4312627,2676
4313699,2661
4313718,2641
4313722,2673
4313786,2674
4313821,2711
4313823,2686
4313399,2674
4313880,2736
4313899,2648
4313906,2690
4313947,2674
4313970,2673
4313979,2731
4314007,2687
4314037,2683
4314046,2674
4314049,2673
4314082,2648
4314097,2658
4314105,2662
4314117,2673
4314136,2736
4314208,2654
4314215,2666
4314229,2716
4314250,2691
4314255,2644
4314260,2658
4314262,2679
4314263,2630
4314301,2674
4314303,2654
4314304,2673
4314309,2658
4313291,2673
4313288,2674
4313282,2674
4314264,2667
4314330,2629
4314332,2661
4313297,2674
4314290,2613
4314363,2674
4313949,2673
4314371,2674
4314374,2679
4313788,2675
4314421,2644
4313298,2673
4314454,2664
4314473,2658
4314474,2662
4314479,2673
